swish-python-master,client.py,ignore_except_block,11
personfinder-master,test_utils.py,assert_used,129
personfinder-master,test_utils.py,assert_used,136
personfinder-master,test_utils.py,assert_used,138
personfinder-master,test_utils.py,assert_used,140
personfinder-master,test_utils.py,assert_used,142
personfinder-master,test_utils.py,assert_used,144
personfinder-master,test_utils.py,assert_used,147
personfinder-master,test_utils.py,assert_used,151
personfinder-master,test_utils.py,assert_used,153
personfinder-master,test_utils.py,assert_used,155
personfinder-master,test_utils.py,assert_used,158
personfinder-master,test_utils.py,assert_used,166
personfinder-master,test_utils.py,assert_used,168
personfinder-master,test_utils.py,assert_used,173
personfinder-master,test_utils.py,assert_used,174
personfinder-master,test_utils.py,assert_used,175
personfinder-master,test_utils.py,assert_used,176
personfinder-master,test_utils.py,assert_used,177
personfinder-master,test_utils.py,assert_used,178
personfinder-master,test_utils.py,assert_used,179
personfinder-master,test_utils.py,assert_used,180
personfinder-master,test_utils.py,assert_used,181
personfinder-master,test_utils.py,assert_used,186
personfinder-master,test_utils.py,assert_used,187
personfinder-master,test_utils.py,assert_used,188
personfinder-master,test_utils.py,assert_used,189
personfinder-master,test_utils.py,assert_used,190
personfinder-master,test_utils.py,assert_used,203
personfinder-master,test_utils.py,assert_used,207
personfinder-master,test_utils.py,assert_used,246
personfinder-master,test_utils.py,assert_used,247
personfinder-master,test_utils.py,assert_used,248
personfinder-master,test_utils.py,assert_used,249
personfinder-master,test_utils.py,assert_used,255
personfinder-master,test_utils.py,assert_used,260
personfinder-master,test_utils.py,assert_used,264
personfinder-master,test_utils.py,assert_used,265
personfinder-master,test_utils.py,assert_used,266
personfinder-master,test_utils.py,assert_used,273
personfinder-master,test_utils.py,assert_used,278
personfinder-master,test_utils.py,assert_used,285
personfinder-master,test_utils.py,assert_used,286
personfinder-master,test_utils.py,assert_used,307
personfinder-master,test_utils.py,assert_used,308
personfinder-master,test_utils.py,assert_used,309
personfinder-master,test_utils.py,assert_used,310
personfinder-master,test_utils.py,assert_used,311
personfinder-master,test_utils.py,assert_used,325
personfinder-master,test_utils.py,assert_used,326
